

🇨🇳央视频道,#genre#
CCTV1综合,http://110.42.52.180:6688/live/live.php?token=y7G7pt99&id=cctv1&zy.m3u8
CCTV-2HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV2
CCTV-3HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV3
CCTV4中文国际,http://110.42.52.180:6688/live/live.php?token=y7G7pt99&id=cctv4&zy.m3u8
CCTV5,http://107.150.60.122/live/cctv5hd.m3u8
CCTV5,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5
CCTV5,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5b
CCTV-5+,https://live.chinacert.cftest5.cn/cnmg/live/641886773
CCTV-6HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV6
CCTV-7HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV7
CCTV8电视剧,http://110.42.52.180:6688/live/live.php?token=y7G7pt99&id=cctv8&zy.m3u8
CCTV-9HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV9
CCTV-10HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV10
CCTV-11HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV11
CCTV-12HD,http://120.220.76.91:2026/klm/klm1.php?id=CCTV12
CCTV-13HD,https://live.chinacert.cftest5.cn/cnmg/live/608807423
CCTV-14HD,https://live.chinacert.cftest5.cn/cnmg/live/624878440
CCTV-15HD,https://live.chinacert.cftest5.cn/cnmg/live/673168223
CCTV-16HD,http://107.150.60.122/live/cctv16hd.m3u8
CCTV-17HD,http://107.150.60.122/live/cctv17hd.m3u8
CCTV-4K超高清,http://107.150.60.122/live/cctv4k.m3u8
CCTV-8K超高清,http://107.150.60.122/live/cctv8k.m3u8
CCTV1,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv1
CCTV1,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv1b
CCTV2,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv2
CCTV3,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv3
CCTV4,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv4
CCTV4欧洲,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv4o
CCTV4美洲,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv4a
CCTV5+,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5p
CCTV5+,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv5p2
CCTV6,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv6
CCTV7,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv7
CCTV8,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv8
CCTV9,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv9
CCTV10,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv10
CCTV11,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv11
CCTV12,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv12
CCTV13,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv13
CCTV14,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv14
CCTV15,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv15
CCTV17,http://82.157.249.28:4009/mgzjk/mgzjk.php?id=cctv17、
🇨🇳卫视频道,#genre#
东方卫视,http://82.157.249.28:4009/yso/yso.php?c=dfws
江苏卫视,http://82.157.249.28:4009/yso/yso.php?c=jsws
浙江卫视,http://82.157.249.28:4009/yso/yso.php?c=zjws
湖南卫视,http://82.157.249.28:4009/yso/yso.php?c=hnws
湖北卫视,http://82.157.249.28:4009/yso/yso.php?c=hbws
广东卫视,http://82.157.249.28:4009/yso/yso.php?c=gdws
广西卫视,http://82.157.249.28:4009/yso/yso.php?c=gxws
黑龙江卫视,http://192.151.150.154/live/hljwshd.m3u8
海南卫视,http://82.157.249.28:4009/yso/yso.php?c=hainan
重庆卫视,http://82.157.249.28:4009/yso/yso.php?c=cqws
深圳卫视,http://82.157.249.28:4009/yso/yso.php?c=szws
四川卫视,http://82.157.249.28:4009/yso/yso.php?c=scws
河南卫视,http://192.151.150.154/live/hawshd.m3u8
东南卫视,http://82.157.249.28:4009/yso/yso.php?c=dnws
贵州卫视,http://82.157.249.28:4009/yso/yso.php?c=gzws
江西卫视,http://82.157.249.28:4009/yso/yso.php?c=jxws
辽宁卫视,http://82.157.249.28:4009/yso/yso.php?c=lnws
安徽卫视,http://82.157.249.28:4009/yso/yso.php?c=ahws
河北卫视,http://82.157.249.28:4009/yso/yso.php?c=hebei
山东卫视,http://192.151.150.154/live/sdwshd.m3u8
天津卫视,http://82.157.249.28:4009/yso/yso.php?c=tjws
陕西卫视,http://107.150.60.122/live/snwshd.m3u8
内蒙古卫视,http://82.157.249.28:4009/yso/yso.php?c=nmgws
甘肃卫视,http://82.157.249.28:4009/yso/yso.php?c=gsws
宁夏卫视,http://82.157.249.28:4009/yso/yso.php?c=nxws
山西卫视,http://82.157.249.28:4009/yso/yso.php?c=shanxi
云南卫视,http://82.157.249.28:4009/yso/yso.php?c=ynws
吉林卫视,http://82.157.249.28:4009/yso/yso.php?c=jlws
青海卫视,http://82.157.249.28:4009/yso/yso.php?c=qhws
西藏卫视,http://82.157.249.28:4009/yso/yso.php?c=xzws
新疆卫视,http://82.157.249.28:4009/yso/yso.php?c=xjws
兵团卫视,http://82.157.249.28:4009/yso/yso.php?c=btws
新闻频道,#genre#
鳳凰中文,http://gat.xyys.site/cdnlive.php?mode=play;id=4e1fa5ce432057f5a31bce209e9ad9ae;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
凤凰资讯,http://gat.xyys.site/cdnlive.php?mode=play;id=85823965b5bf5a75814ed43f0fb0e621;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
凤凰香港,http://gat.xyys.site/cdnlive.php?mode=play;id=0f1ae47ac6325165ac663b214c882235;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
TVB翡翠,http://gat.xyys.site/cdnlive.php?mode=play;id=8f9fa5bf982052ff8aa91227674c5332;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
TVB翡翠(新加坡),http://gat.xyys.site/cdnlive.php?mode=play;id=a59e3a8d72dc5f9e930b63a87088e36c;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
TVB翡翠(马来),http://gat.xyys.site/cdnlive.php?mode=play;id=11d507404f025a5f89faf445f707109a;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
TVB明珠,http://gat.xyys.site/cdnlive.php?mode=play;id=46c55f235f505f18908aff3b9bdb5ff4;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
TVB_Plus,http://gat.xyys.site/cdnlive.php?mode=play;id=c10b8bdcd3d85144bc3b8ebc6ae14210;token=1vTGRVZYFOZ3DZ45gNUC11hrdqAj9GfT
