🍉 电影系列_6,#genre#
烟台影视,http://live.yantaitv.cn/live/e9f1d9045d474c31884d13fa4ffbbd16/a4a9b3704d854756907845107cc56129.m3u8
绍兴影院✪另,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
绍兴文化影院,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8?zzhed
新昌休闲影院,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
红牛TV[1280*720],https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_3360.m3u8
电影_强森,https://live.metshop.top/huya/21059581



电影_许氏三杰,https://live.metshop.top/huya/11602033
电影_警匪,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352886
电影_海盗,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059595
电影_赛车,http://tv.zimtv.cn/tv/player/api/huya.php?id=11279247
电影_救援,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059594
电影_热血,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352934
电影_谍战,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059585
电影_战争,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059592
电影_八点档,http://tv.zimtv.cn/tv/player/api/huya.php?id=880261
电影_蜘蛛侠,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059599
电影_贺岁片,http://tv.zimtv.cn/tv/player/api/huya.php?id=11601986
电影_功夫片,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352941
电影_黑帮片,http://tv.zimtv.cn/tv/player/api/huya.php?id=11336719
电影_灾难片,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602075
电影_谍战片,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059587
电影_战争片,http://tv.zimtv.cn/tv/player/api/huya.php?id=21059574
电影_古装片,http://tv.zimtv.cn/tv/player/api/huya.php?id=11336590
电影_喜剧专场,http://tv.zimtv.cn/tv/player/api/huya.php?id=11602044
电影_高分动作,http://tv.zimtv.cn/tv/player/api/huya.php?id=11352884
电影_嫣然影厅,http://tv.zimtv.cn/tv/player/api/huya.php?id=11601977
电影_动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
电影_邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
电影_邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
电影_邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
电影_邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
电影_华数动作,http://113.25.252.226:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
电影_家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
电影_影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC影迷电影,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chchd
CHC动作电影,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chcdz
重温经典,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cwjd



☀️ 影院频道,#genre#

陈翔六点频道,http://cfss.cc/cdn/huya/11274154.flv
喜剧专场频道,http://cfss.cc/cdn/huya/11602044.flv
高分动作频道,http://cfss.cc/cdn/huya/11352884.flv
不挤影院频道,http://cfss.cc/cdn/huya/11352897.flv
黑帮斗争频道,http://cfss.cc/cdn/huya/11342419.flv
嫣然影厅频道,http://cfss.cc/cdn/huya/11601977.flv
女神系列频道,http://cfss.cc/cdn/huya/11336571.flv
经典女神频道,http://cfss.cc/cdn/huya/11352909.flv
许氏三杰频道,http://cfss.cc/cdn/huya/11602033.flv
经典港片频道,http://cfss.cc/cdn/huya/11352965.flv
镖行天下频道,http://cfss.cc/cdn/huya/11352969.flv
蘑菇影厅频道,http://cfss.cc/cdn/huya/11601981.flv
搞笑恐怖频道,http://cfss.cc/cdn/huya/11601960.flv
死神来了频道,http://cfss.cc/cdn/huya/11352903.flv
超异能族频道,http://cfss.cc/cdn/huya/21059586.flv
古墓系列频道,http://cfss.cc/cdn/huya/11352913.flv
动作电影频道,http://cfss.cc/cdn/huya/11602077.flv
搞笑喜剧频道,http://cfss.cc/cdn/huya/11342423.flv
欢笑影院频道,http://cfss.cc/cdn/huya/11352894.flv
国产悬疑频道,http://cfss.cc/cdn/huya/11342395.flv
快意江湖频道,http://cfss.cc/cdn/huya/11342435.flv
喜乐影院频道,http://cfss.cc/cdn/huya/21059580.flv
怪兽系列频道,http://cfss.cc/cdn/huya/21059554.flv
杰森斯坦频道,http://cfss.cc/cdn/huya/21059588.flv

🐼 轮播频道,#genre#
成龙轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbcl
成龙轮播,http://cfss.cc/cdn/huya/11342386.flv
放映厅轮播,http://cfss.cc/cdn/huya/11602077.flv
刘德华轮播,http://cfss.cc/cdn/huya/11342424.flv
许冠英轮播,http://cfss.cc/cdn/huya/11601972.flv
李连杰轮播,http://cfss.cc/cdn/huya/11342390.flv
甄子丹轮播,http://cfss.cc/cdn/huya/11352935.flv
周润发轮播,http://cfss.cc/cdn/huya/11342387.flv
周润发轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbzrf
周星驰轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbzxc
林正英轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lblzy
周星驰轮播,http://cfss.cc/cdn/huya/11336587.flv
洪金宝轮播,http://cfss.cc/cdn/huya/11279251.flv
梁家辉轮播,http://cfss.cc/cdn/huya/11342429.flv
五福星轮播,http://cfss.cc/cdn/huya/11282233.flv
古天乐轮播,http://cfss.cc/cdn/huya/11602041.flv
邱淑贞轮播,http://cfss.cc/cdn/huya/11352949.flv
周海媚轮播,http://cfss.cc/cdn/huya/11279247.flv
星爷轮播,http://cfss.cc/cdn/huya/11342412.flv
英叔轮播,http://cfss.cc/cdn/huya/11342421.flv
王晶轮播,http://cfss.cc/cdn/huya/11602058.flv
沈腾轮播,http://cfss.cc/cdn/huya/11601968.flv
黄渤轮播,http://cfss.cc/cdn/huya/11352876.flv
强森轮播,http://cfss.cc/cdn/huya/21059581.flv
玄幻轮播,http://cfss.cc/cdn/huya/11342414.flv
喜剧轮播,http://cfss.cc/cdn/huya/11352877.flv
港片轮播,http://cfss.cc/cdn/huya/11602043.flv
国产轮播,http://cfss.cc/cdn/huya/11352973.flv
漫威轮播,http://cfss.cc/cdn/huya/11602034.flv
宇宙轮播,http://cfss.cc/cdn/huya/11342428.flv
怪兽轮播,http://cfss.cc/cdn/huya/21059577.flv
武侠轮播,http://cfss.cc/cdn/huya/11342427.flv
警匪轮播,http://cfss.cc/cdn/huya/11352886.flv
罪犯轮播,http://cfss.cc/cdn/huya/11352962.flv
枪战轮播,http://cfss.cc/cdn/huya/21059579.flv
盗墓轮播,http://cfss.cc/cdn/huya/21059552.flv
海盗轮播,http://cfss.cc/cdn/huya/21059595.flv
